Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Add friend system and social connections,OVOFOCUS-18,10699,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:00 AM,17/Jan/26 2:00 AM,,,,0,"*As a* user
*I want* to connect with friends in the app
*So that* I can see their progress and stay motivated together

*Acceptance Criteria:*

* Add friends by code or username
* View friend's collection and stats
* Friend activity feed
* Privacy controls for what's visible
* Remove/block friends

*Features:*

* Unique friend codes
* Friend request system
* Activity notifications
* Collection comparison",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3bff3603,,,,{},,,,,,,,,,,,,,0|i003dr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:00 AM
Add animal evolution at max level,OVOFOCUS-15,10689,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:00 AM,17/Jan/26 2:00 AM,,,,0,"*As a* user
*I want* my max-level animals to evolve into new forms
*So that* I have a reason to keep interacting with favorite animals

*Acceptance Criteria:*

* Max level animals can evolve
* Evolution creates visually distinct variant
* Evolution animation/celebration plays
* Evolved animals have enhanced bonuses
* Evolution tracked in collection

*Evolution Mechanics:*

* Requires max level (Level 5)
* May require specific items or conditions
* Evolved form is a new entry in collection
* Original form retained as well",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ae7b0b0,,,,{},,,,,,,,,,,,,,0|i003bj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:00 AM
Add quest and challenge system,OVOFOCUS-14,10688,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:00 AM,17/Jan/26 2:00 AM,,,,0,"*As a* user
*I want* daily and weekly challenges to complete
*So that* I have varied goals beyond just completing sessions

*Acceptance Criteria:*

* Daily quests rotate each day
* Weekly challenges available
* Quest progress tracked in real-time
* Rewards granted on completion (shields, XP, cosmetics)
* Quest UI visible on home screen

*Quest Types:*

* Daily: Complete 3 sessions, Focus for 1 hour, No failed sessions
* Weekly: 7-day streak, Collect 5 animals, Focus 10 hours
* Special: Seasonal/event-based challenges",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ebd3ace,,,,{},,,,,,,,,,,,,,0|i003bb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:00 AM
Add achievement system with unlockable badges,OVOFOCUS-13,10687,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:00 AM,17/Jan/26 2:00 AM,,,,0,"*As a* user
*I want* to earn achievements for my accomplishments
*So that* I feel rewarded for my progress

*Acceptance Criteria:*

* At least 20 achievements defined
* Achievements unlock automatically when conditions met
* Visual notification on unlock with celebration
* Achievements viewable in dedicated screen
* Progress shown for incomplete achievements

*Achievement Categories:*

* Collection (first animal, complete tiers, 100%)
* Streaks (7, 30, 100 days)
* Sessions (10, 50, 100, 500 completed)
* Focus time (1hr, 10hr, 100hr total)
* Perfect (no fails in week/month)",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78889c5d,,,,{},,,,,,,,,,,,,,0|i003b3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:00 AM
Launch & Marketing,OVOFOCUS-10,10684,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,,,,0,"Prepare the app for public launch on app stores and establish marketing presence.

*Goals:*

* Successfully launch on App Store and Play Store
* Build user awareness
* Gather user feedback

*Key Deliverables:*

* App Store assets & screenshots
* Store descriptions (EN/TR)
* Privacy policy
* Beta testing program
* Analytics setup
* Developer documentation",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1924de96,,,,{},ghx-label-4,,To Do,,,,dark_blue,,,,,,,0|i003af:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
Technical Debt & Infrastructure,OVOFOCUS-9,10683,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,20/Jan/26 2:16 PM,,,0,"Address technical debt and improve the codebase infrastructure for long-term maintainability.

*Goals:*

* Improve code quality and maintainability
* Reduce bugs and crashes
* Enable faster feature development

*Key Deliverables:*

* Error boundaries
* Structured logging
* Data validation layer
* State management improvements
* Code splitting
* Data migration system",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@29536330,,,,{},ghx-label-11,,To Do,,,,teal,,,,,,,0|i003a7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
Monetization,OVOFOCUS-8,10682,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,,,,0,"Implement sustainable monetization strategies while maintaining a great free experience.

*Goals:*

* Create value for premium users
* Implement fair monetization
* Support ongoing development

*Key Deliverables:*

* Premium features design
* In-app purchases
* Subscription system
* Cosmetic store",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f1b3b91,,,,{},ghx-label-14,,To Do,,,,dark_orange,,,,,,,0|i0039z:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
Platform Integrations,OVOFOCUS-7,10681,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,,,,0,"Integrate with platform features and external services to enhance the app experience.

*Goals:*

* Leverage native platform capabilities
* Integrate with popular services
* Expand app reach across devices

*Key Deliverables:*

* iOS/Android widgets
* Apple Watch / Wear OS companion
* Siri / Google Assistant integration
* Focus Mode / DND integration
* App shortcuts
* Push notifications",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@156e8a35,,,,{},ghx-label-12,,To Do,,,,grey,,,,,,,0|i0039r:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
Quality & Testing,OVOFOCUS-6,10680,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,20/Jan/26 2:10 PM,,,0,"Establish testing infrastructure and ensure app quality through automated testing and performance optimization.

*Goals:*

* Achieve comprehensive test coverage
* Ensure performance on all devices
* Enable confident deployments

*Key Deliverables:*

* Jest unit testing setup
* E2E testing with Detox/Maestro
* Performance optimization
* Error boundaries & logging
* CI/CD pipeline",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74cda577,,,,{},ghx-label-7,,To Do,,,,purple,,,,,,,0|i0039j:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
User Experience & Customization,OVOFOCUS-5,10679,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,20/Jan/26 2:10 PM,,,0,"Improve the overall user experience with theming, customization, and platform optimizations.

*Goals:*

* Allow users to personalize their experience
* Support multiple platforms and screen sizes
* Improve accessibility

*Key Deliverables:*

* Light/dark mode theming
* Egg & UI customization
* Tablet & web optimization
* Accessibility improvements
* Onboarding flow improvements
* Multi-language support",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32b8334,,,,{},ghx-label-4,,To Do,,,,dark_blue,,,,,,,0|i0039b:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
Analytics & Data,OVOFOCUS-4,10678,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,,,,0,"Provide users with insights into their focus habits and enable data portability.

*Goals:*

* Help users understand their focus patterns
* Enable data backup and export
* Support health app integrations

*Key Deliverables:*

* Statistics dashboard
* Data export/import
* Health app integration (Apple Health, Google Fit)
* Calendar integration
* Session notes & reflection",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77abe44a,,,,{},ghx-label-8,,To Do,,,,dark_purple,,,,,,,0|i00393:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
Social & Multiplayer,OVOFOCUS-3,10677,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,,,,0,"Add social features to enable users to connect, compete, and focus together.

*Goals:*

* Enable social connections between users
* Add competitive elements via leaderboards
* Support collaborative focus sessions

*Key Deliverables:*

* Friend system
* Leaderboards (global & friends)
* Social sharing
* Multiplayer focus rooms
* Cloud sync & accounts",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ed411d5,,,,{},ghx-label-3,,To Do,,,,yellow,,,,,,,0|i0038v:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
Gamification & Progression,OVOFOCUS-2,10676,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,,,,0,"Enhance the core gamification loop with achievements, quests, evolution, and expanded content.

*Goals:*

* Increase user engagement through meaningful progression
* Add variety with new animals and content
* Create compelling reward systems

*Key Deliverables:*

* Achievement system
* Quest/challenge system
* Animal evolution
* Expanded animal database
* Daily rewards
* Streak protection",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@207c1008,,,,{},ghx-label-11,,To Do,,,,teal,,,,,,,0|i0038n:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
Audio & Sound System,OVOFOCUS-1,10675,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 1:59 AM,17/Jan/26 1:59 AM,,,,0,"Implement a complete audio experience for the app including sound effects, ambient sounds, and background music.

*Goals:*

* Enable immersive audio feedback for all interactions
* Provide ambient/focus sounds for sessions
* Support user preferences for audio settings

*Key Deliverables:*

* Sound effects for UI interactions
* Session start/complete sounds
* Egg hatching audio
* Ambient sound library
* Volume and mute controls",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f910510,,,,{},ghx-label-7,,To Do,,,,purple,,,,,,,0|i0038f:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 1:59 AM
